trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
584,False,"{'a': 0.5, 'e': 0.05393368730035602}",25,1,24.022456628207227,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
585,False,"{'a': 0.5, 'e': 0.05366469191273011}",20,10,14.144562340684814,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
586,False,"{'a': 0.5, 'e': 0.053397038145197084}",30,23,-31.0269146754705,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
587,False,"{'a': 0.5, 'e': 0.05313071930639878}",20,12,16.225212096602988,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
588,False,"{'a': 0.5, 'e': 0.05286572873835037}",20,7,23.61621740154937,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
589,False,"{'a': 0.5, 'e': 0.05260205981627384}",20,14,8.672274093870417,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
590,False,"{'a': 0.5, 'e': 0.05233970594843238}",20,0,14.585626373972291,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
591,False,"{'a': 0.5, 'e': 0.05207866057596569}",20,0,2.087230810426738,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
592,False,"{'a': 0.5, 'e': 0.05181891717272583}",25,1,31.063646697500772,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
593,False,"{'a': 0.5, 'e': 0.0515604692451142}",20,8,18.684390970452817,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
594,False,"{'a': 0.5, 'e': 0.05130331033191911}",25,15,19.21295746495165,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
595,False,"{'a': 0.5, 'e': 0.051047434004154395}",30,14,29.399171154022017,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
596,False,"{'a': 0.5, 'e': 0.0507928338648985}",25,18,15.008217457852016,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
597,False,"{'a': 0.5, 'e': 0.050539503549134696}",20,7,22.78473318403141,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
598,False,"{'a': 0.5, 'e': 0.050287436723591865}",25,0,33.53305975855096,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
599,False,"{'a': 0.5, 'e': 0.05003662708658628}",20,14,-30.101124507014408,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
600,False,"{'a': 0.5, 'e': 0.049787068367863944}",25,12,16.26422501585859,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
601,False,"{'a': 0.5, 'e': 0.04953875432844388}",30,0,32.211831660556776,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
602,False,"{'a': 0.5, 'e': 0.04929167876046215}",25,0,40.08440875094618,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
603,False,"{'a': 0.5, 'e': 0.04904583548701673}",20,8,14.560701559152406,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
604,False,"{'a': 0.5, 'e': 0.04880121836201296}",25,0,-23.530001858882066,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
605,False,"{'a': 0.5, 'e': 0.048557821270009974}",20,6,23.540958604914056,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
606,False,"{'a': 0.5, 'e': 0.04831563812606777}",30,16,26.207243842378578,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
607,False,"{'a': 0.5, 'e': 0.04807466287559518}",25,8,6.3753000455635185,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
608,False,"{'a': 0.5, 'e': 0.04783488949419837}",35,21,23.8734662448007,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
609,False,"{'a': 0.5, 'e': 0.04759631198753032}",25,12,24.412144255062014,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
610,False,"{'a': 0.5, 'e': 0.04735892439114091}",25,20,9.04067461810136,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
611,False,"{'a': 0.5, 'e': 0.04712272077032791}",30,13,27.25426848974916,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
612,False,"{'a': 0.5, 'e': 0.046887695219988486}",20,0,33.938759535673555,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
613,False,"{'a': 0.5, 'e': 0.04665384186447163}",25,13,20.06347315755129,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
614,False,"{'a': 0.5, 'e': 0.04642115485743125}",20,3,-12.80934066999424,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
615,False,"{'a': 0.5, 'e': 0.0461896283816801}",25,10,23.73792550287046,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
616,False,"{'a': 0.5, 'e': 0.045959256649044204}",20,2,3.8731546354609288,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
617,False,"{'a': 0.5, 'e': 0.04573003390021825}",25,14,16.444606380537405,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
618,False,"{'a': 0.5, 'e': 0.04550195440462157}",25,13,14.329680879503709,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
619,False,"{'a': 0.5, 'e': 0.045275012460254886}",20,0,8.690141292903807,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
620,False,"{'a': 0.5, 'e': 0.0450492023935578}",20,8,17.536782160578724,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
621,False,"{'a': 0.5, 'e': 0.04482451855926687}",20,4,16.93766992596271,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
622,False,"{'a': 0.5, 'e': 0.044600955340274535}",35,19,25.020018368460853,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
623,False,"{'a': 0.5, 'e': 0.04437850714748865}",30,12,32.18483991172265,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
624,False,"{'a': 0.5, 'e': 0.04415716841969286}",20,0,28.982992236820127,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
